# speed_ms: 0.400
# origin_ned_m: N=-0.2241,E=-0.0034,D=-2.4184
# waypoint_01_ned_m: N=-0.2241,E=-0.0034,D=-2.4184
# waypoint_02_ned_m: N=-0.2668,E=2.9963,D=-2.4184
# waypoint_03_ned_m: N=-3.2665,E=2.9536,D=-2.4184
# waypoint_04_ned_m: N=-3.2238,E=-0.0461,D=-2.4184
# waypoint_05_ned_m: N=-0.2241,E=-0.0034,D=-2.4184
timestamp_s,desired_N_m,desired_E_m,desired_D_m,actual_N_m,actual_E_m,actual_D_m,error_3d_m,gps_num_satellites,gps_fix_type,desired_fwd_m,desired_right_m,actual_fwd_m,actual_right_m
1784212119.309,-0.2241,-0.0034,-2.4184,-0.2321,-0.0042,-2.4121,0.0102,10,0,0.0000,-0.0000,-0.0007,0.0080
1784212119.366,-0.2241,-0.0034,-2.4184,-0.2339,-0.0034,-2.4108,0.0124,10,0,0.0000,-0.0000,0.0001,0.0098
1784212119.369,-0.2668,2.9963,-2.4184,-0.2339,-0.0034,-2.4108,2.9999,10,0,3.0000,0.0000,0.0001,0.0098
1784212119.423,-0.2668,2.9963,-2.4184,-0.2370,-0.0022,-2.4085,2.9987,10,0,3.0000,0.0000,0.0014,0.0129
1784212119.477,-0.2668,2.9963,-2.4184,-0.2399,-0.0011,-2.4064,2.9975,10,0,3.0000,0.0000,0.0025,0.0158
1784212119.530,-0.2668,2.9963,-2.4184,-0.2411,-0.0006,-2.4056,2.9971,10,0,3.0000,0.0000,0.0030,0.0170
1784212119.584,-0.2668,2.9963,-2.4184,-0.2431,0.0003,-2.4040,2.9961,10,0,3.0000,0.0000,0.0040,0.0190
1784212119.636,-0.2668,2.9963,-2.4184,-0.2440,0.0008,-2.4032,2.9956,10,0,3.0000,0.0000,0.0045,0.0198
1784212119.690,-0.2668,2.9963,-2.4184,-0.2463,0.0030,-2.4015,2.9935,10,0,3.0000,0.0000,0.0067,0.0221
1784212119.743,-0.2668,2.9963,-2.4184,-0.2497,0.0079,-2.3992,2.9885,10,0,3.0000,0.0000,0.0117,0.0255
1784212119.798,-0.2668,2.9963,-2.4184,-0.2512,0.0103,-2.3982,2.9861,10,0,3.0000,0.0000,0.0141,0.0269
1784212119.858,-0.2668,2.9963,-2.4184,-0.2538,0.0156,-2.3966,2.9808,10,0,3.0000,0.0000,0.0194,0.0294
1784212119.912,-0.2668,2.9963,-2.4184,-0.2555,0.0204,-2.3954,2.9760,10,0,3.0000,0.0000,0.0242,0.0311
1784212119.969,-0.2668,2.9963,-2.4184,-0.2563,0.0228,-2.3947,2.9736,10,0,3.0000,0.0000,0.0267,0.0319
1784212120.021,-0.2668,2.9963,-2.4184,-0.2577,0.0286,-2.3932,2.9678,10,0,3.0000,0.0000,0.0325,0.0332
1784212120.072,-0.2668,2.9963,-2.4184,-0.2590,0.0343,-2.3919,2.9622,10,0,3.0000,0.0000,0.0382,0.0343
1784212120.124,-0.2668,2.9963,-2.4184,-0.2600,0.0375,-2.3911,2.9589,10,0,3.0000,0.0000,0.0414,0.0354
