# speed_ms: 1.500
# origin_ned_m: N=-0.2241,E=-0.0034,D=-2.4184
# waypoint_01_ned_m: N=-0.2241,E=-0.0034,D=-2.4184
# waypoint_02_ned_m: N=-0.2668,E=2.9963,D=-2.4184
# waypoint_03_ned_m: N=-3.2665,E=2.9536,D=-2.4184
# waypoint_04_ned_m: N=-3.2238,E=-0.0461,D=-2.4184
# waypoint_05_ned_m: N=-0.2241,E=-0.0034,D=-2.4184
timestamp_s,desired_N_m,desired_E_m,desired_D_m,actual_N_m,actual_E_m,actual_D_m,error_3d_m,gps_num_satellites,gps_fix_type,desired_fwd_m,desired_right_m,actual_fwd_m,actual_right_m
1784212179.146,-0.2241,-0.0034,-2.4184,-1.5116,-0.0396,-2.3969,1.2882,0,0,0.0000,-0.0000,-0.0178,1.2879
1784212179.198,-0.2241,-0.0034,-2.4184,-1.4359,-0.0358,-2.3968,1.2124,10,0,0.0000,-0.0000,-0.0152,1.2121
1784212179.250,-0.2241,-0.0034,-2.4184,-1.3984,-0.0340,-2.3967,1.1749,10,0,0.0000,-0.0000,-0.0139,1.1746
1784212179.302,-0.2241,-0.0034,-2.4184,-1.3156,-0.0300,-2.3962,1.0921,10,0,0.0000,-0.0000,-0.0111,1.0918
1784212179.354,-0.2241,-0.0034,-2.4184,-1.2432,-0.0244,-2.3955,1.0196,10,0,0.0000,-0.0000,-0.0065,1.0193
1784212179.407,-0.2241,-0.0034,-2.4184,-1.2086,-0.0215,-2.3952,0.9849,10,0,0.0000,-0.0000,-0.0040,0.9846
1784212179.459,-0.2241,-0.0034,-2.4184,-1.1436,-0.0161,-2.3946,0.9199,10,0,0.0000,-0.0000,0.0004,0.9196
1784212179.510,-0.2241,-0.0034,-2.4184,-1.1064,-0.0131,-2.3943,0.8827,10,0,0.0000,-0.0000,0.0028,0.8824
1784212179.563,-0.2241,-0.0034,-2.4184,-1.0528,-0.0090,-2.3938,0.8291,10,0,0.0000,-0.0000,0.0062,0.8287
1784212179.615,-0.2241,-0.0034,-2.4184,-1.0287,-0.0072,-2.3935,0.8051,10,0,0.0000,-0.0000,0.0077,0.8046
1784212179.670,-0.2241,-0.0034,-2.4184,-0.9861,-0.0040,-2.3927,0.7624,10,0,0.0000,-0.0000,0.0102,0.7619
1784212179.722,-0.2241,-0.0034,-2.4184,-0.9417,0.0003,-2.3913,0.7181,10,0,0.0000,-0.0000,0.0139,0.7175
1784212179.775,-0.2241,-0.0034,-2.4184,-0.9183,0.0041,-2.3905,0.6949,10,0,0.0000,-0.0000,0.0174,0.6941
1784212179.828,-0.2241,-0.0034,-2.4184,-0.8772,0.0107,-2.3889,0.6539,10,0,0.0000,-0.0000,0.0234,0.6528
1784212179.881,-0.2241,-0.0034,-2.4184,-0.8590,0.0135,-2.3882,0.6359,10,0,0.0000,-0.0000,0.0259,0.6347
1784212179.933,-0.2241,-0.0034,-2.4184,-0.8229,0.0188,-2.3869,0.6001,10,0,0.0000,-0.0000,0.0307,0.5985
1784212179.985,-0.2241,-0.0034,-2.4184,-0.8086,0.0208,-2.3863,0.5859,10,0,0.0000,-0.0000,0.0325,0.5841
1784212180.037,-0.2241,-0.0034,-2.4184,-0.7823,0.0241,-2.3854,0.5599,10,0,0.0000,-0.0000,0.0355,0.5578
1784212180.090,-0.2241,-0.0034,-2.4184,-0.7703,0.0255,-2.3851,0.5480,10,0,0.0000,-0.0000,0.0367,0.5457
1784212180.092,-0.2668,2.9963,-2.4184,-0.7559,0.0271,-2.3849,3.0094,10,0,3.0000,0.0000,0.0381,0.5314
1784212180.146,-0.2668,2.9963,-2.4184,-0.7436,0.0287,-2.3849,3.0059,10,0,3.0000,0.0000,0.0394,0.5191
1784212180.201,-0.2668,2.9963,-2.4184,-0.7178,0.0321,-2.3850,2.9985,10,0,3.0000,0.0000,0.0426,0.4932
1784212180.256,-0.2668,2.9963,-2.4184,-0.7054,0.0336,-2.3851,2.9951,10,0,3.0000,0.0000,0.0439,0.4807
1784212180.308,-0.2668,2.9963,-2.4184,-0.6780,0.0365,-2.3857,2.9884,10,0,3.0000,0.0000,0.0463,0.4533
1784212180.360,-0.2668,2.9963,-2.4184,-0.6538,0.0387,-2.3865,2.9830,10,0,3.0000,0.0000,0.0482,0.4291
1784212180.411,-0.2668,2.9963,-2.4184,-0.6417,0.0399,-2.3869,2.9803,10,0,3.0000,0.0000,0.0492,0.4169
1784212180.464,-0.2668,2.9963,-2.4184,-0.6176,0.0426,-2.3877,2.9746,10,0,3.0000,0.0000,0.0516,0.3929
1784212180.516,-0.2668,2.9963,-2.4184,-0.6027,0.0448,-2.3883,2.9707,10,0,3.0000,0.0000,0.0536,0.3779
1784212180.567,-0.2668,2.9963,-2.4184,-0.5788,0.0501,-2.3896,2.9628,10,0,3.0000,0.0000,0.0585,0.3539
1784212180.620,-0.2668,2.9963,-2.4184,-0.5668,0.0535,-2.3903,2.9582,10,0,3.0000,0.0000,0.0617,0.3419
1784212180.672,-0.2668,2.9963,-2.4184,-0.5432,0.0617,-2.3915,2.9477,10,0,3.0000,0.0000,0.0696,0.3182
1784212180.723,-0.2668,2.9963,-2.4184,-0.5173,0.0740,-2.3928,2.9332,10,0,3.0000,0.0000,0.0815,0.2921
1784212180.775,-0.2668,2.9963,-2.4184,-0.5061,0.0806,-2.3933,2.9256,10,0,3.0000,0.0000,0.0880,0.2808
1784212180.827,-0.2668,2.9963,-2.4184,-0.4841,0.0960,-2.3943,2.9085,10,0,3.0000,0.0000,0.1031,0.2586
1784212180.880,-0.2668,2.9963,-2.4184,-0.4733,0.1049,-2.3949,2.8989,10,0,3.0000,0.0000,0.1118,0.2477
1784212180.934,-0.2668,2.9963,-2.4184,-0.4497,0.1263,-2.3965,2.8759,10,0,3.0000,0.0000,0.1329,0.2237
1784212180.988,-0.2668,2.9963,-2.4184,-0.4390,0.1348,-2.3976,2.8667,10,0,3.0000,0.0000,0.1413,0.2130
1784212181.040,-0.2668,2.9963,-2.4184,-0.4189,0.1553,-2.3994,2.8452,10,0,3.0000,0.0000,0.1614,0.1926
1784212181.092,-0.2668,2.9963,-2.4184,-0.3979,0.1838,-2.4009,2.8156,10,0,3.0000,0.0000,0.1896,0.1711
1784212181.144,-0.2668,2.9963,-2.4184,-0.3890,0.1983,-2.4015,2.8007,10,0,3.0000,0.0000,0.2040,0.1621
1784212181.196,-0.2668,2.9963,-2.4184,-0.3724,0.2306,-2.4027,2.7678,10,0,3.0000,0.0000,0.2360,0.1449
1784212181.249,-0.2668,2.9963,-2.4184,-0.3645,0.2483,-2.4032,2.7498,10,0,3.0000,0.0000,0.2537,0.1369
1784212181.303,-0.2668,2.9963,-2.4184,-0.3483,0.2921,-2.4042,2.7055,10,0,3.0000,0.0000,0.2972,0.1200
1784212181.356,-0.2668,2.9963,-2.4184,-0.3337,0.3306,-2.4051,2.6666,10,0,3.0000,0.0000,0.3355,0.1048
1784212181.410,-0.2668,2.9963,-2.4184,-0.3267,0.3508,-2.4054,2.6462,10,0,3.0000,0.0000,0.3556,0.0975
1784212181.463,-0.2668,2.9963,-2.4184,-0.3137,0.3948,-2.4059,2.6019,10,0,3.0000,0.0000,0.3994,0.0840
1784212181.516,-0.2668,2.9963,-2.4184,-0.3063,0.4247,-2.4062,2.5720,10,0,3.0000,0.0000,0.4292,0.0761
1784212181.567,-0.2668,2.9963,-2.4184,-0.2956,0.4760,-2.4064,2.5205,10,0,3.0000,0.0000,0.4804,0.0647
1784212181.620,-0.2668,2.9963,-2.4184,-0.2896,0.5101,-2.4065,2.4863,10,0,3.0000,0.0000,0.5144,0.0582
1784212181.672,-0.2668,2.9963,-2.4184,-0.2818,0.5605,-2.4065,2.4359,10,0,3.0000,0.0000,0.5646,0.0497
1784212181.723,-0.2668,2.9963,-2.4184,-0.2732,0.6277,-2.4067,2.3686,10,0,3.0000,0.0000,0.6317,0.0402
1784212181.776,-0.2668,2.9963,-2.4184,-0.2697,0.6566,-2.4072,2.3397,10,0,3.0000,0.0000,0.6606,0.0362
1784212181.828,-0.2668,2.9963,-2.4184,-0.2636,0.7175,-2.4082,2.2788,10,0,3.0000,0.0000,0.7214,0.0293
1784212181.881,-0.2668,2.9963,-2.4184,-0.2610,0.7494,-2.4087,2.2469,10,0,3.0000,0.0000,0.7532,0.0262
1784212181.935,-0.2668,2.9963,-2.4184,-0.2562,0.8245,-2.4092,2.1719,10,0,3.0000,0.0000,0.8283,0.0203
1784212181.988,-0.2668,2.9963,-2.4184,-0.2544,0.8593,-2.4094,2.1371,10,0,3.0000,0.0000,0.8630,0.0181
1784212182.041,-0.2668,2.9963,-2.4184,-0.2516,0.9312,-2.4096,2.0652,10,0,3.0000,0.0000,0.9348,0.0142
1784212182.092,-0.2668,2.9963,-2.4184,-0.2494,1.0155,-2.4097,1.9809,10,0,3.0000,0.0000,1.0191,0.0108
1784212182.144,-0.2668,2.9963,-2.4184,-0.2484,1.0529,-2.4101,1.9435,10,0,3.0000,0.0000,1.0565,0.0093
1784212182.196,-0.2668,2.9963,-2.4184,-0.2464,1.1278,-2.4113,1.8686,10,0,3.0000,0.0000,1.1314,0.0062
1784212182.197,-3.2665,2.9536,-2.4184,-0.2464,1.1278,-2.4113,3.5291,10,0,3.0000,3.0000,1.1314,0.0062
1784212182.249,-3.2665,2.9536,-2.4184,-0.2457,1.1663,-2.4118,3.5099,10,0,3.0000,3.0000,1.1699,0.0049
1784212182.303,-3.2665,2.9536,-2.4184,-0.2446,1.2554,-2.4128,3.4663,10,0,3.0000,3.0000,1.2590,0.0026
1784212182.355,-3.2665,2.9536,-2.4184,-0.2444,1.3371,-2.4132,3.4272,10,0,3.0000,3.0000,1.3406,0.0013
