# speed_ms: 1.500
# origin_ned_m: N=-0.0836,E=-0.0046,D=-2.4747
# waypoint_01_ned_m: N=-0.0836,E=-0.0046,D=-2.4747
# waypoint_02_ned_m: N=-0.1245,E=2.9952,D=-2.4747
# waypoint_03_ned_m: N=-3.1242,E=2.9544,D=-2.4747
# waypoint_04_ned_m: N=-3.0834,E=-0.0454,D=-2.4747
# waypoint_05_ned_m: N=-0.0836,E=-0.0046,D=-2.4747
timestamp_s,desired_N_m,desired_E_m,desired_D_m,actual_N_m,actual_E_m,actual_D_m,error_3d_m,gps_num_satellites,gps_fix_type,desired_fwd_m,desired_right_m,actual_fwd_m,actual_right_m
1784211112.763,-0.0836,-0.0046,-2.4747,-1.2870,-0.0570,-2.4666,1.2045,0,0,0.0000,-0.0000,-0.0361,1.2040
1784211112.815,-0.0836,-0.0046,-2.4747,-1.2504,-0.0544,-2.4663,1.1679,10,0,0.0000,-0.0000,-0.0339,1.1673
1784211112.867,-0.0836,-0.0046,-2.4747,-1.1691,-0.0488,-2.4657,1.0864,10,0,0.0000,-0.0000,-0.0295,1.0860
1784211112.920,-0.0836,-0.0046,-2.4747,-1.1338,-0.0465,-2.4652,1.0510,10,0,0.0000,-0.0000,-0.0277,1.0506
1784211112.973,-0.0836,-0.0046,-2.4747,-1.0623,-0.0403,-2.4641,0.9794,10,0,0.0000,-0.0000,-0.0224,0.9791
1784211113.026,-0.0836,-0.0046,-2.4747,-1.0258,-0.0359,-2.4635,0.9428,10,0,0.0000,-0.0000,-0.0185,0.9425
1784211113.080,-0.0836,-0.0046,-2.4747,-0.9496,-0.0272,-2.4622,0.8663,10,0,0.0000,-0.0000,-0.0108,0.8662
1784211113.133,-0.0836,-0.0046,-2.4747,-0.8898,-0.0205,-2.4612,0.8064,10,0,0.0000,-0.0000,-0.0050,0.8063
1784211113.186,-0.0836,-0.0046,-2.4747,-0.8627,-0.0176,-2.4608,0.7793,10,0,0.0000,-0.0000,-0.0024,0.7792
1784211113.239,-0.0836,-0.0046,-2.4747,-0.8146,-0.0124,-2.4597,0.7312,10,0,0.0000,-0.0000,0.0021,0.7310
1784211113.293,-0.0836,-0.0046,-2.4747,-0.7883,-0.0096,-2.4587,0.7049,10,0,0.0000,-0.0000,0.0046,0.7047
1784211113.345,-0.0836,-0.0046,-2.4747,-0.7517,-0.0059,-2.4571,0.6683,10,0,0.0000,-0.0000,0.0077,0.6680
1784211113.398,-0.0836,-0.0046,-2.4747,-0.6992,0.0034,-2.4559,0.6159,10,0,0.0000,-0.0000,0.0163,0.6154
1784211113.451,-0.0836,-0.0046,-2.4747,-0.6832,0.0063,-2.4555,0.5999,10,0,0.0000,-0.0000,0.0190,0.5993
1784211113.503,-0.0836,-0.0046,-2.4747,-0.6408,0.0138,-2.4542,0.5579,10,0,0.0000,-0.0000,0.0259,0.5569
1784211113.556,-0.0836,-0.0046,-2.4747,-0.6243,0.0167,-2.4536,0.5415,10,0,0.0000,-0.0000,0.0286,0.5403
1784211113.609,-0.0836,-0.0046,-2.4747,-0.5947,0.0215,-2.4529,0.5122,10,0,0.0000,-0.0000,0.0330,0.5106
1784211113.662,-0.0836,-0.0046,-2.4747,-0.5813,0.0234,-2.4527,0.4989,10,0,0.0000,-0.0000,0.0348,0.4972
1784211113.663,-0.1245,2.9952,-2.4747,-0.5813,0.0234,-2.4527,3.0067,10,0,3.0000,0.0000,0.0348,0.4972
1784211113.716,-0.1245,2.9952,-2.4747,-0.5537,0.0270,-2.4524,2.9992,10,0,3.0000,0.0000,0.0379,0.4696
1784211113.767,-0.1245,2.9952,-2.4747,-0.5283,0.0314,-2.4528,2.9912,10,0,3.0000,0.0000,0.0420,0.4441
1784211113.819,-0.1245,2.9952,-2.4747,-0.5138,0.0351,-2.4533,2.9857,10,0,3.0000,0.0000,0.0455,0.4295
1784211113.871,-0.1245,2.9952,-2.4747,-0.4829,0.0422,-2.4543,2.9748,10,0,3.0000,0.0000,0.0521,0.3986
1784211113.924,-0.1245,2.9952,-2.4747,-0.4698,0.0449,-2.4547,2.9705,10,0,3.0000,0.0000,0.0547,0.3854
1784211113.977,-0.1245,2.9952,-2.4747,-0.4444,0.0498,-2.4553,2.9627,10,0,3.0000,0.0000,0.0593,0.3599
1784211114.029,-0.1245,2.9952,-2.4747,-0.4320,0.0522,-2.4556,2.9590,10,0,3.0000,0.0000,0.0615,0.3476
1784211114.082,-0.1245,2.9952,-2.4747,-0.4049,0.0579,-2.4563,2.9507,10,0,3.0000,0.0000,0.0668,0.3204
1784211114.134,-0.1245,2.9952,-2.4747,-0.3815,0.0639,-2.4569,2.9426,10,0,3.0000,0.0000,0.0725,0.2969
1784211114.187,-0.1245,2.9952,-2.4747,-0.3687,0.0685,-2.4575,2.9369,10,0,3.0000,0.0000,0.0770,0.2841
1784211114.240,-0.1245,2.9952,-2.4747,-0.3433,0.0797,-2.4585,2.9237,10,0,3.0000,0.0000,0.0878,0.2585
1784211114.293,-0.1245,2.9952,-2.4747,-0.3280,0.0876,-2.4590,2.9147,10,0,3.0000,0.0000,0.0955,0.2431
1784211114.344,-0.1245,2.9952,-2.4747,-0.3046,0.1019,-2.4597,2.8990,10,0,3.0000,0.0000,0.1094,0.2195
1784211114.396,-0.1245,2.9952,-2.4747,-0.2827,0.1186,-2.4603,2.8809,10,0,3.0000,0.0000,0.1259,0.1974
1784211114.448,-0.1245,2.9952,-2.4747,-0.2723,0.1280,-2.4605,2.8710,10,0,3.0000,0.0000,0.1351,0.1868
1784211114.501,-0.1245,2.9952,-2.4747,-0.2504,0.1521,-2.4610,2.8459,10,0,3.0000,0.0000,0.1589,0.1646
1784211114.554,-0.1245,2.9952,-2.4747,-0.2412,0.1641,-2.4612,2.8335,10,0,3.0000,0.0000,0.1707,0.1553
1784211114.608,-0.1245,2.9952,-2.4747,-0.2192,0.1888,-2.4615,2.8080,10,0,3.0000,0.0000,0.1952,0.1330
1784211114.660,-0.1245,2.9952,-2.4747,-0.2088,0.2024,-2.4618,2.7941,10,0,3.0000,0.0000,0.2086,0.1223
1784211114.713,-0.1245,2.9952,-2.4747,-0.1871,0.2363,-2.4624,2.7596,10,0,3.0000,0.0000,0.2422,0.1002
1784211114.766,-0.1245,2.9952,-2.4747,-0.1679,0.2750,-2.4630,2.7205,10,0,3.0000,0.0000,0.2807,0.0805
1784211114.818,-0.1245,2.9952,-2.4747,-0.1621,0.2889,-2.4633,2.7065,10,0,3.0000,0.0000,0.2945,0.0745
1784211114.871,-0.1245,2.9952,-2.4747,-0.1462,0.3336,-2.4637,2.6616,10,0,3.0000,0.0000,0.3390,0.0579
1784211114.924,-0.1245,2.9952,-2.4747,-0.1398,0.3549,-2.4637,2.6404,10,0,3.0000,0.0000,0.3601,0.0513
1784211114.977,-0.1245,2.9952,-2.4747,-0.1265,0.3997,-2.4639,2.5955,10,0,3.0000,0.0000,0.4048,0.0374
1784211115.029,-0.1245,2.9952,-2.4747,-0.1122,0.4475,-2.4641,2.5477,10,0,3.0000,0.0000,0.4524,0.0224
1784211115.081,-0.1245,2.9952,-2.4747,-0.1043,0.4792,-2.4642,2.5160,10,0,3.0000,0.0000,0.4840,0.0141
1784211115.134,-0.1245,2.9952,-2.4747,-0.0934,0.5327,-2.4643,2.4627,10,0,3.0000,0.0000,0.5374,0.0025
1784211115.186,-0.1245,2.9952,-2.4747,-0.0875,0.5678,-2.4643,2.4277,10,0,3.0000,0.0000,0.5723,-0.0039
1784211115.239,-0.1245,2.9952,-2.4747,-0.0805,0.6189,-2.4641,2.3767,10,0,3.0000,0.0000,0.6233,-0.0116
1784211115.292,-0.1245,2.9952,-2.4747,-0.0762,0.6568,-2.4641,2.3389,10,0,3.0000,0.0000,0.6612,-0.0164
1784211115.346,-0.1245,2.9952,-2.4747,-0.0708,0.7197,-2.4639,2.2761,10,0,3.0000,0.0000,0.7240,-0.0227
1784211115.398,-0.1245,2.9952,-2.4747,-0.0632,0.7857,-2.4641,2.2104,10,0,3.0000,0.0000,0.7899,-0.0312
1784211115.450,-0.1245,2.9952,-2.4747,-0.0599,0.8196,-2.4641,2.1765,10,0,3.0000,0.0000,0.8238,-0.0350
1784211115.502,-0.1245,2.9952,-2.4747,-0.0539,0.8982,-2.4638,2.0982,10,0,3.0000,0.0000,0.9022,-0.0420
1784211115.554,-0.1245,2.9952,-2.4747,-0.0519,0.9340,-2.4636,2.0625,10,0,3.0000,0.0000,0.9380,-0.0445
1784211115.606,-0.1245,2.9952,-2.4747,-0.0488,1.0071,-2.4634,1.9895,10,0,3.0000,0.0000,1.0111,-0.0486
1784211115.658,-0.1245,2.9952,-2.4747,-0.0477,1.0445,-2.4633,1.9522,10,0,3.0000,0.0000,1.0485,-0.0502
1784211115.710,-0.1245,2.9952,-2.4747,-0.0464,1.1304,-2.4632,1.8664,10,0,3.0000,0.0000,1.1343,-0.0527
1784211115.762,-0.1245,2.9952,-2.4747,-0.0463,1.1693,-2.4631,1.8275,10,0,3.0000,0.0000,1.1733,-0.0533
1784211115.763,-3.1242,2.9544,-2.4747,-0.0463,1.1693,-2.4631,3.5581,10,0,3.0000,3.0000,1.1733,-0.0533
1784211115.815,-3.1242,2.9544,-2.4747,-0.0446,1.2497,-2.4637,3.5199,10,0,3.0000,3.0000,1.2536,-0.0561
1784211115.867,-3.1242,2.9544,-2.4747,-0.0439,1.3419,-2.4644,3.4768,10,0,3.0000,3.0000,1.3458,-0.0581
1784211115.923,-3.1242,2.9544,-2.4747,-0.0441,1.3834,-2.4647,3.4576,10,0,3.0000,3.0000,1.3872,-0.0585
1784211115.985,-3.1242,2.9544,-2.4747,-0.0452,1.4670,-2.4651,3.4194,10,0,3.0000,3.0000,1.4709,-0.0584
1784211116.041,-3.1242,2.9544,-2.4747,-0.0462,1.5092,-2.4651,3.4004,10,0,3.0000,3.0000,1.5131,-0.0580
1784211116.095,-3.1242,2.9544,-2.4747,-0.0495,1.6044,-2.4649,3.3579,10,0,3.0000,3.0000,1.6083,-0.0560
1784211116.147,-3.1242,2.9544,-2.4747,-0.0543,1.6890,-2.4646,3.3204,10,0,3.0000,3.0000,1.6930,-0.0524
1784211116.199,-3.1242,2.9544,-2.4747,-0.0571,1.7427,-2.4651,3.2977,10,0,3.0000,3.0000,1.7468,-0.0503
1784211116.251,-3.1242,2.9544,-2.4747,-0.0624,1.8175,-2.4659,3.2660,10,0,3.0000,3.0000,1.8216,-0.0460
1784211116.303,-3.1242,2.9544,-2.4747,-0.0674,1.8701,-2.4664,3.2434,10,0,3.0000,3.0000,1.8742,-0.0417
1784211116.355,-3.1242,2.9544,-2.4747,-0.0779,1.9524,-2.4671,3.2068,10,0,3.0000,3.0000,1.9567,-0.0323
1784211116.407,-3.1242,2.9544,-2.4747,-0.0843,1.9926,-2.4673,3.1884,10,0,3.0000,3.0000,1.9970,-0.0265
1784211116.460,-3.1242,2.9544,-2.4747,-0.0996,2.0710,-2.4677,3.1510,10,0,3.0000,3.0000,2.0755,-0.0123
1784211116.512,-3.1242,2.9544,-2.4747,-0.1212,2.1555,-2.4679,3.1074,10,0,3.0000,3.0000,2.1604,0.0082
1784211116.565,-3.1242,2.9544,-2.4747,-0.1324,2.1917,-2.4680,3.0875,10,0,3.0000,3.0000,2.1967,0.0189
1784211116.618,-3.1242,2.9544,-2.4747,-0.1534,2.2694,-2.4689,3.0488,10,0,3.0000,3.0000,2.2746,0.0388
1784211116.670,-3.1242,2.9544,-2.4747,-0.1685,2.3161,-2.4695,3.0239,10,0,3.0000,3.0000,2.3216,0.0532
1784211116.723,-3.1242,2.9544,-2.4747,-0.1964,2.3868,-2.4701,2.9823,10,0,3.0000,3.0000,2.3927,0.0802
1784211116.775,-3.1242,2.9544,-2.4747,-0.2288,2.4529,-2.4709,2.9385,10,0,3.0000,3.0000,2.4592,0.1117
1784211116.827,-3.1242,2.9544,-2.4747,-0.2466,2.4841,-2.4712,2.9157,10,0,3.0000,3.0000,2.4906,0.1291
1784211116.880,-3.1242,2.9544,-2.4747,-0.2907,2.5498,-2.4717,2.8623,10,0,3.0000,3.0000,2.5569,0.1722
1784211116.932,-3.1242,2.9544,-2.4747,-0.3119,2.5771,-2.4718,2.8374,10,0,3.0000,3.0000,2.5845,0.1932
1784211116.987,-3.1242,2.9544,-2.4747,-0.3551,2.6316,-2.4725,2.7878,10,0,3.0000,3.0000,2.6396,0.2356
1784211117.039,-3.1242,2.9544,-2.4747,-0.3988,2.6864,-2.4736,2.7385,10,0,3.0000,3.0000,2.6950,0.2785
1784211117.091,-3.1242,2.9544,-2.4747,-0.4285,2.7178,-2.4739,2.7061,10,0,3.0000,3.0000,2.7268,0.3078
1784211117.143,-3.1242,2.9544,-2.4747,-0.4796,2.7639,-2.4742,2.6514,10,0,3.0000,3.0000,2.7736,0.3583
