# speed_ms: 1.500
# origin_ned_m: N=0.0739,E=0.0402,D=-2.7665
# waypoint_01_ned_m: N=0.0739,E=0.0402,D=-2.7665
# waypoint_02_ned_m: N=0.0170,E=3.0397,D=-2.7665
# waypoint_03_ned_m: N=-2.9825,E=2.9828,D=-2.7665
# waypoint_04_ned_m: N=-2.9256,E=-0.0166,D=-2.7665
# waypoint_05_ned_m: N=0.0739,E=0.0402,D=-2.7665
timestamp_s,desired_N_m,desired_E_m,desired_D_m,actual_N_m,actual_E_m,actual_D_m,error_3d_m,gps_num_satellites,gps_fix_type,desired_fwd_m,desired_right_m,actual_fwd_m,actual_right_m
1784214807.874,0.0739,0.0402,-2.7665,-0.6211,0.0745,-2.7413,0.6962,10,0,0.0000,-0.0000,0.0474,0.6942
1784214807.927,0.0739,0.0402,-2.7665,-0.5456,0.0763,-2.7406,0.6211,10,0,0.0000,-0.0000,0.0479,0.6187
1784214807.982,0.0739,0.0402,-2.7665,-0.5080,0.0777,-2.7400,0.5837,10,0,0.0000,-0.0000,0.0485,0.5811
1784214808.035,0.0739,0.0402,-2.7665,-0.4345,0.0811,-2.7385,0.5107,10,0,0.0000,-0.0000,0.0505,0.5075
1784214808.088,0.0739,0.0402,-2.7665,-0.3915,0.0828,-2.7376,0.4682,10,0,0.0000,-0.0000,0.0514,0.4644
1784214808.140,0.0739,0.0402,-2.7665,-0.3290,0.0846,-2.7369,0.4064,10,0,0.0000,-0.0000,0.0520,0.4020
1784214808.192,0.0739,0.0402,-2.7665,-0.2759,0.0857,-2.7370,0.3539,10,0,0.0000,-0.0000,0.0521,0.3488
1784214808.245,0.0739,0.0402,-2.7665,-0.2530,0.0860,-2.7372,0.3314,10,0,0.0000,-0.0000,0.0519,0.3260
1784214808.298,0.0739,0.0402,-2.7665,-0.2106,0.0863,-2.7370,0.2897,10,0,0.0000,-0.0000,0.0515,0.2835
1784214808.351,0.0739,0.0402,-2.7665,-0.1955,0.0863,-2.7365,0.2749,10,0,0.0000,-0.0000,0.0512,0.2684
1784214808.404,0.0739,0.0402,-2.7665,-0.1531,0.0892,-2.7335,0.2346,10,0,0.0000,-0.0000,0.0532,0.2260
1784214808.405,0.0170,3.0397,-2.7665,-0.1531,0.0892,-2.7335,2.9556,10,0,3.0000,0.0000,0.0532,0.2260
1784214808.458,0.0170,3.0397,-2.7665,-0.1209,0.0916,-2.7300,2.9516,10,0,3.0000,0.0000,0.0550,0.1938
1784214808.511,0.0170,3.0397,-2.7665,-0.1075,0.0925,-2.7283,2.9501,10,0,3.0000,0.0000,0.0557,0.1803
1784214808.563,0.0170,3.0397,-2.7665,-0.0846,0.0937,-2.7254,2.9480,10,0,3.0000,0.0000,0.0565,0.1574
1784214808.616,0.0170,3.0397,-2.7665,-0.0748,0.0942,-2.7243,2.9472,10,0,3.0000,0.0000,0.0568,0.1476
1784214808.670,0.0170,3.0397,-2.7665,-0.0555,0.0957,-2.7231,2.9452,10,0,3.0000,0.0000,0.0579,0.1283
1784214808.723,0.0170,3.0397,-2.7665,-0.0404,0.0980,-2.7232,2.9425,10,0,3.0000,0.0000,0.0600,0.1131
1784214808.776,0.0170,3.0397,-2.7665,-0.0320,0.1003,-2.7235,2.9401,10,0,3.0000,0.0000,0.0621,0.1047
1784214808.828,0.0170,3.0397,-2.7665,-0.0136,0.1075,-2.7246,2.9327,10,0,3.0000,0.0000,0.0689,0.0862
1784214808.880,0.0170,3.0397,-2.7665,-0.0030,0.1135,-2.7257,2.9265,10,0,3.0000,0.0000,0.0747,0.0755
1784214808.933,0.0170,3.0397,-2.7665,0.0128,0.1264,-2.7282,2.9135,10,0,3.0000,0.0000,0.0874,0.0594
1784214808.986,0.0170,3.0397,-2.7665,0.0203,0.1346,-2.7297,2.9053,10,0,3.0000,0.0000,0.0954,0.0518
1784214809.039,0.0170,3.0397,-2.7665,0.0342,0.1550,-2.7330,2.8849,10,0,3.0000,0.0000,0.1156,0.0375
1784214809.091,0.0170,3.0397,-2.7665,0.0423,0.1708,-2.7352,2.8692,10,0,3.0000,0.0000,0.1311,0.0291
1784214809.144,0.0170,3.0397,-2.7665,0.0541,0.2010,-2.7389,2.8390,10,0,3.0000,0.0000,0.1612,0.0167
1784214809.199,0.0170,3.0397,-2.7665,0.0636,0.2322,-2.7415,2.8080,10,0,3.0000,0.0000,0.1921,0.0066
1784214809.252,0.0170,3.0397,-2.7665,0.0678,0.2496,-2.7426,2.7906,10,0,3.0000,0.0000,0.2095,0.0021
1784214809.305,0.0170,3.0397,-2.7665,0.0758,0.2957,-2.7450,2.7447,10,0,3.0000,0.0000,0.2554,-0.0068
1784214809.358,0.0170,3.0397,-2.7665,0.0788,0.3191,-2.7459,2.7214,10,0,3.0000,0.0000,0.2787,-0.0102
1784214809.410,0.0170,3.0397,-2.7665,0.0834,0.3710,-2.7476,2.6695,10,0,3.0000,0.0000,0.3306,-0.0158
1784214809.462,0.0170,3.0397,-2.7665,0.0867,0.4371,-2.7489,2.6035,10,0,3.0000,0.0000,0.3966,-0.0204
1784214809.515,0.0170,3.0397,-2.7665,0.0876,0.4689,-2.7492,2.5718,10,0,3.0000,0.0000,0.4284,-0.0218
