# speed_ms: 0.400
# origin_ned_m: N=0.0739,E=0.0402,D=-2.7665
# waypoint_01_ned_m: N=0.0739,E=0.0402,D=-2.7665
# waypoint_02_ned_m: N=0.0170,E=3.0397,D=-2.7665
# waypoint_03_ned_m: N=-2.9825,E=2.9828,D=-2.7665
# waypoint_04_ned_m: N=-2.9256,E=-0.0166,D=-2.7665
# waypoint_05_ned_m: N=0.0739,E=0.0402,D=-2.7665
timestamp_s,desired_N_m,desired_E_m,desired_D_m,actual_N_m,actual_E_m,actual_D_m,error_3d_m,gps_num_satellites,gps_fix_type,desired_fwd_m,desired_right_m,actual_fwd_m,actual_right_m
1784214748.389,0.0739,0.0402,-2.7665,0.0875,0.0462,-2.7587,0.0168,10,0,0.0000,-0.0000,0.0057,-0.0137
1784214748.443,0.0739,0.0402,-2.7665,0.0904,0.0474,-2.7569,0.0205,10,0,0.0000,-0.0000,0.0069,-0.0167
1784214748.449,0.0170,3.0397,-2.7665,0.0904,0.0474,-2.7569,2.9932,10,0,3.0000,0.0000,0.0069,-0.0167
1784214748.504,0.0170,3.0397,-2.7665,0.0916,0.0479,-2.7561,2.9927,10,0,3.0000,0.0000,0.0073,-0.0179
1784214748.557,0.0170,3.0397,-2.7665,0.0977,0.0498,-2.7542,2.9910,10,0,3.0000,0.0000,0.0091,-0.0240
1784214748.610,0.0170,3.0397,-2.7665,0.1016,0.0508,-2.7530,2.9901,10,0,3.0000,0.0000,0.0101,-0.0280
1784214748.663,0.0170,3.0397,-2.7665,0.1069,0.0522,-2.7512,2.9889,10,0,3.0000,0.0000,0.0113,-0.0332
1784214748.716,0.0170,3.0397,-2.7665,0.1110,0.0534,-2.7498,2.9878,10,0,3.0000,0.0000,0.0125,-0.0373
1784214748.772,0.0170,3.0397,-2.7665,0.1126,0.0541,-2.7493,2.9872,10,0,3.0000,0.0000,0.0131,-0.0390
1784214748.825,0.0170,3.0397,-2.7665,0.1153,0.0558,-2.7485,2.9855,10,0,3.0000,0.0000,0.0148,-0.0417
1784214748.880,0.0170,3.0397,-2.7665,0.1166,0.0578,-2.7483,2.9836,10,0,3.0000,0.0000,0.0168,-0.0430
1784214748.933,0.0170,3.0397,-2.7665,0.1181,0.0592,-2.7478,2.9822,10,0,3.0000,0.0000,0.0182,-0.0446
1784214748.986,0.0170,3.0397,-2.7665,0.1231,0.0637,-2.7460,2.9779,10,0,3.0000,0.0000,0.0225,-0.0497
1784214749.038,0.0170,3.0397,-2.7665,0.1246,0.0661,-2.7454,2.9756,10,0,3.0000,0.0000,0.0250,-0.0513
1784214749.092,0.0170,3.0397,-2.7665,0.1266,0.0720,-2.7443,2.9698,10,0,3.0000,0.0000,0.0308,-0.0534
1784214749.145,0.0170,3.0397,-2.7665,0.1275,0.0796,-2.7436,2.9623,10,0,3.0000,0.0000,0.0383,-0.0543
1784214749.199,0.0170,3.0397,-2.7665,0.1273,0.0865,-2.7432,2.9554,10,0,3.0000,0.0000,0.0452,-0.0544
