# speed_ms: 1.200
# origin_ned_m: N=0.0739,E=0.0402,D=-2.7665
# waypoint_01_ned_m: N=0.0739,E=0.0402,D=-2.7665
# waypoint_02_ned_m: N=0.0170,E=3.0397,D=-2.7665
# waypoint_03_ned_m: N=-2.9825,E=2.9828,D=-2.7665
# waypoint_04_ned_m: N=-2.9256,E=-0.0166,D=-2.7665
# waypoint_05_ned_m: N=0.0739,E=0.0402,D=-2.7665
timestamp_s,desired_N_m,desired_E_m,desired_D_m,actual_N_m,actual_E_m,actual_D_m,error_3d_m,gps_num_satellites,gps_fix_type,desired_fwd_m,desired_right_m,actual_fwd_m,actual_right_m
1784214796.659,0.0739,0.0402,-2.7665,-0.4590,0.0534,-2.7440,0.5335,10,0,0.0000,-0.0000,0.0233,0.5326
1784214796.711,0.0739,0.0402,-2.7665,-0.4100,0.0534,-2.7440,0.4846,10,0,0.0000,-0.0000,0.0224,0.4835
1784214796.762,0.0739,0.0402,-2.7665,-0.3874,0.0541,-2.7442,0.4620,10,0,0.0000,-0.0000,0.0226,0.4609
1784214796.814,0.0739,0.0402,-2.7665,-0.3465,0.0566,-2.7447,0.4213,10,0,0.0000,-0.0000,0.0244,0.4200
1784214796.867,0.0739,0.0402,-2.7665,-0.3219,0.0579,-2.7448,0.3967,10,0,0.0000,-0.0000,0.0252,0.3953
1784214796.920,0.0739,0.0402,-2.7665,-0.2851,0.0596,-2.7448,0.3601,10,0,0.0000,-0.0000,0.0262,0.3585
1784214796.972,0.0739,0.0402,-2.7665,-0.2684,0.0603,-2.7448,0.3435,10,0,0.0000,-0.0000,0.0265,0.3418
1784214797.024,0.0739,0.0402,-2.7665,-0.2389,0.0613,-2.7449,0.3142,10,0,0.0000,-0.0000,0.0271,0.3123
1784214797.076,0.0739,0.0402,-2.7665,-0.2233,0.0618,-2.7448,0.2987,10,0,0.0000,-0.0000,0.0272,0.2967
1784214797.128,0.0739,0.0402,-2.7665,-0.2023,0.0623,-2.7440,0.2780,10,0,0.0000,-0.0000,0.0274,0.2757
1784214797.129,0.0170,3.0397,-2.7665,-0.2023,0.0623,-2.7440,2.9855,10,0,3.0000,0.0000,0.0274,0.2757
1784214797.181,0.0170,3.0397,-2.7665,-0.1795,0.0640,-2.7424,2.9823,10,0,3.0000,0.0000,0.0286,0.2529
1784214797.234,0.0170,3.0397,-2.7665,-0.1689,0.0648,-2.7416,2.9807,10,0,3.0000,0.0000,0.0292,0.2422
1784214797.285,0.0170,3.0397,-2.7665,-0.1479,0.0664,-2.7396,2.9780,10,0,3.0000,0.0000,0.0304,0.2212
1784214797.338,0.0170,3.0397,-2.7665,-0.1395,0.0670,-2.7389,2.9769,10,0,3.0000,0.0000,0.0309,0.2128
1784214797.391,0.0170,3.0397,-2.7665,-0.1238,0.0685,-2.7377,2.9747,10,0,3.0000,0.0000,0.0320,0.1970
1784214797.445,0.0170,3.0397,-2.7665,-0.1162,0.0695,-2.7374,2.9733,10,0,3.0000,0.0000,0.0329,0.1895
1784214797.497,0.0170,3.0397,-2.7665,-0.0994,0.0731,-2.7372,2.9690,10,0,3.0000,0.0000,0.0361,0.1727
1784214797.549,0.0170,3.0397,-2.7665,-0.0862,0.0791,-2.7374,2.9626,10,0,3.0000,0.0000,0.0419,0.1593
1784214797.601,0.0170,3.0397,-2.7665,-0.0821,0.0837,-2.7376,2.9578,10,0,3.0000,0.0000,0.0464,0.1551
