# speed_ms: 0.800
# origin_ned_m: N=-0.0836,E=-0.0046,D=-2.4747
# waypoint_01_ned_m: N=-0.0836,E=-0.0046,D=-2.4747
# waypoint_02_ned_m: N=-0.1245,E=2.9952,D=-2.4747
# waypoint_03_ned_m: N=-3.1242,E=2.9544,D=-2.4747
# waypoint_04_ned_m: N=-3.0834,E=-0.0454,D=-2.4747
# waypoint_05_ned_m: N=-0.0836,E=-0.0046,D=-2.4747
timestamp_s,desired_N_m,desired_E_m,desired_D_m,actual_N_m,actual_E_m,actual_D_m,error_3d_m,gps_num_satellites,gps_fix_type,desired_fwd_m,desired_right_m,actual_fwd_m,actual_right_m
1784211084.704,-0.0836,-0.0046,-2.4747,-0.5121,-0.0694,-2.4507,0.4340,0,0,0.0000,-0.0000,-0.0591,0.4293
1784211084.756,-0.0836,-0.0046,-2.4747,-0.5000,-0.0694,-2.4506,0.4221,0,0,0.0000,-0.0000,-0.0591,0.4172
1784211084.809,-0.0836,-0.0046,-2.4747,-0.4762,-0.0688,-2.4505,0.3985,10,0,0.0000,-0.0000,-0.0589,0.3934
1784211084.863,-0.0836,-0.0046,-2.4747,-0.4614,-0.0682,-2.4503,0.3839,10,0,0.0000,-0.0000,-0.0585,0.3786
1784211084.917,-0.0836,-0.0046,-2.4747,-0.4383,-0.0671,-2.4494,0.3610,10,0,0.0000,-0.0000,-0.0577,0.3555
1784211084.970,-0.0836,-0.0046,-2.4747,-0.4168,-0.0687,-2.4493,0.3403,10,0,0.0000,-0.0000,-0.0596,0.3340
1784211085.022,-0.0836,-0.0046,-2.4747,-0.4068,-0.0695,-2.4493,0.3305,10,0,0.0000,-0.0000,-0.0606,0.3240
1784211085.073,-0.0836,-0.0046,-2.4747,-0.3858,-0.0708,-2.4493,0.3103,10,0,0.0000,-0.0000,-0.0621,0.3030
1784211085.125,-0.0836,-0.0046,-2.4747,-0.3772,-0.0712,-2.4494,0.3021,10,0,0.0000,-0.0000,-0.0626,0.2945
1784211085.177,-0.0836,-0.0046,-2.4747,-0.3614,-0.0717,-2.4496,0.2869,10,0,0.0000,-0.0000,-0.0634,0.2787
1784211085.229,-0.0836,-0.0046,-2.4747,-0.3541,-0.0719,-2.4498,0.2799,10,0,0.0000,-0.0000,-0.0637,0.2714
1784211085.281,-0.0836,-0.0046,-2.4747,-0.3388,-0.0720,-2.4499,0.2651,10,0,0.0000,-0.0000,-0.0639,0.2561
1784211085.282,-0.1245,2.9952,-2.4747,-0.3388,-0.0720,-2.4499,3.0747,10,0,3.0000,0.0000,-0.0639,0.2561
1784211085.334,-0.1245,2.9952,-2.4747,-0.3325,-0.0718,-2.4499,3.0741,10,0,3.0000,0.0000,-0.0639,0.2497
1784211085.386,-0.1245,2.9952,-2.4747,-0.3180,-0.0737,-2.4494,3.0751,10,0,3.0000,0.0000,-0.0659,0.2353
1784211085.439,-0.1245,2.9952,-2.4747,-0.3060,-0.0748,-2.4492,3.0755,10,0,3.0000,0.0000,-0.0673,0.2233
1784211085.492,-0.1245,2.9952,-2.4747,-0.3002,-0.0751,-2.4492,3.0754,10,0,3.0000,0.0000,-0.0676,0.2175
1784211085.545,-0.1245,2.9952,-2.4747,-0.2889,-0.0752,-2.4492,3.0748,10,0,3.0000,0.0000,-0.0678,0.2062
1784211085.598,-0.1245,2.9952,-2.4747,-0.2834,-0.0748,-2.4493,3.0742,10,0,3.0000,0.0000,-0.0676,0.2007
1784211085.652,-0.1245,2.9952,-2.4747,-0.2711,-0.0730,-2.4498,3.0718,10,0,3.0000,0.0000,-0.0659,0.1884
1784211085.705,-0.1245,2.9952,-2.4747,-0.2604,-0.0700,-2.4501,3.0683,10,0,3.0000,0.0000,-0.0630,0.1776
1784211085.759,-0.1245,2.9952,-2.4747,-0.2566,-0.0698,-2.4503,3.0679,10,0,3.0000,0.0000,-0.0629,0.1739
1784211085.813,-0.1245,2.9952,-2.4747,-0.2497,-0.0689,-2.4507,3.0667,10,0,3.0000,0.0000,-0.0620,0.1669
1784211085.865,-0.1245,2.9952,-2.4747,-0.2451,-0.0670,-2.4507,3.0646,10,0,3.0000,0.0000,-0.0603,0.1623
